N,P,K,temperature,humidity,ph,rainfall,label
40.2,62.6,16.8,29.1,46.0,5.8,198.0,pigeonpeas
26.1,69.9,21.9,36.6,49.6,6.9,116.8,pigeonpeas
25.4,67.6,15.1,31.5,45.8,5.9,132.1,pigeonpeas
14.9,55.1,19.2,29.3,50.1,7.4,116.2,pigeonpeas
33.3,56.9,19.3,32.7,35.2,5.7,161.4,pigeonpeas
18.9,76.5,24.5,36.6,39.8,5.7,189.1,pigeonpeas
28.0,62.1,20.9,28.8,57.8,5.0,128.8,pigeonpeas
38.2,58.2,19.3,31.5,59.0,6.8,109.8,pigeonpeas
13.3,57.9,18.1,32.0,43.9,4.9,132.8,pigeonpeas
26.8,82.4,17.7,31.7,53.3,5.4,99.9,pigeonpeas
34.7,73.6,21.9,35.4,53.6,6.7,107.1,pigeonpeas
14.9,68.6,12.5,35.5,51.6,6.6,137.0,pigeonpeas
36.1,60.1,26.2,31.1,36.3,5.8,158.0,pigeonpeas
34.9,75.8,23.5,35.1,44.7,4.9,95.2,pigeonpeas
41.8,79.5,17.6,28.9,58.4,5.8,145.4,pigeonpeas
33.6,62.0,20.9,29.3,55.5,6.2,150.8,pigeonpeas
15.9,59.0,23.0,32.1,45.1,5.9,154.8,pigeonpeas
26.2,74.1,13.7,29.6,48.4,7.1,87.6,pigeonpeas
35.9,77.3,28.5,34.9,34.2,6.0,104.6,pigeonpeas
23.6,70.6,15.2,33.2,57.9,5.5,150.8,pigeonpeas
28.2,59.0,16.4,28.5,43.6,4.7,108.8,pigeonpeas
18.0,56.7,18.5,34.1,37.5,6.1,150.8,pigeonpeas
37.9,74.9,17.5,29.8,41.3,5.9,163.6,pigeonpeas
31.0,79.6,18.5,36.6,38.8,7.4,118.2,pigeonpeas
28.7,58.8,24.0,35.5,46.2,6.2,179.2,pigeonpeas
30.0,69.4,16.8,31.7,57.1,4.8,174.7,pigeonpeas
17.1,65.3,21.3,36.6,50.8,6.1,158.0,pigeonpeas
12.3,73.1,22.9,36.2,35.3,6.0,131.0,pigeonpeas
24.2,62.1,15.3,33.1,50.1,7.3,191.4,pigeonpeas
21.8,77.1,19.4,26.5,47.1,6.4,142.0,pigeonpeas
31.9,56.7,21.4,35.2,59.7,7.3,122.1,pigeonpeas
16.2,69.8,16.2,33.5,40.0,5.5,94.2,pigeonpeas
25.0,58.8,25.2,28.5,33.7,6.1,150.5,pigeonpeas
36.0,70.6,24.7,27.5,52.2,4.7,185.1,pigeonpeas
17.9,54.4,20.9,30.8,31.6,7.5,109.3,pigeonpeas
38.2,55.6,21.1,28.2,60.5,7.1,117.1,pigeonpeas
17.9,65.8,27.6,31.5,47.6,5.7,166.9,pigeonpeas
16.9,64.9,22.9,37.0,46.6,6.1,137.0,pigeonpeas
24.7,78.2,20.2,33.2,34.3,5.6,154.1,pigeonpeas
17.7,83.3,19.5,28.9,29.9,6.8,98.2,pigeonpeas
19.7,62.6,17.0,31.9,43.4,7.3,102.0,pigeonpeas
29.9,61.2,23.1,29.6,54.8,5.6,118.1,pigeonpeas
19.7,69.1,15.1,29.0,30.6,5.2,122.4,pigeonpeas
15.1,55.6,24.5,33.0,32.8,5.9,154.2,pigeonpeas
34.0,60.5,21.2,30.6,44.2,6.4,162.7,pigeonpeas
14.9,71.8,20.6,32.7,34.2,5.6,164.2,pigeonpeas
25.7,76.1,12.8,32.2,59.7,6.6,150.5,pigeonpeas
36.5,67.4,21.1,35.5,57.8,5.4,92.8,pigeonpeas
30.0,73.8,21.3,33.4,52.1,4.8,120.9,pigeonpeas
32.5,72.5,15.5,29.0,64.0,5.1,164.8,pigeonpeas
42.1,64.7,18.6,32.0,49.1,6.6,102.5,pigeonpeas
41.0,77.8,19.7,28.6,53.8,7.4,139.4,pigeonpeas
15.2,69.8,19.5,28.6,37.2,7.3,107.6,pigeonpeas
17.0,68.9,23.0,28.1,38.5,5.3,136.4,pigeonpeas
25.2,68.8,16.8,34.5,62.0,6.7,135.6,pigeonpeas
41.5,71.5,20.7,27.5,41.2,5.7,163.2,pigeonpeas
26.6,67.7,16.9,34.9,54.8,6.6,100.7,pigeonpeas
28.6,65.7,19.2,36.3,49.0,7.3,167.5,pigeonpeas
38.4,68.3,17.5,30.5,40.4,6.3,188.8,pigeonpeas
35.7,65.1,21.1,27.5,56.2,6.0,135.9,pigeonpeas
16.5,81.2,21.3,28.5,34.1,6.1,151.6,pigeonpeas
20.7,72.0,15.2,34.2,49.1,4.9,168.2,pigeonpeas
17.4,66.4,15.8,36.3,61.7,4.6,137.8,pigeonpeas
33.2,60.4,21.7,31.5,42.2,5.5,147.1,pigeonpeas
22.1,77.8,17.9,30.3,46.3,4.6,190.6,pigeonpeas
20.4,54.5,15.4,34.0,31.4,5.0,144.9,pigeonpeas
17.5,66.3,18.4,36.4,63.8,4.6,105.3,pigeonpeas
36.1,63.4,20.0,30.9,46.4,4.8,156.9,pigeonpeas
33.7,55.3,20.0,30.3,45.6,5.0,97.6,pigeonpeas
41.4,57.3,12.3,35.4,50.0,6.6,88.9,pigeonpeas
20.7,73.5,15.0,31.2,40.0,6.0,175.9,pigeonpeas
30.5,69.3,23.7,32.4,57.2,4.6,150.6,pigeonpeas
39.1,51.5,16.6,27.7,35.7,6.5,112.9,pigeonpeas
35.7,75.1,21.9,32.4,33.4,5.8,147.8,pigeonpeas
25.6,39.6,19.5,29.3,63.4,3.8,80.4,mothbeans
36.5,37.2,18.9,28.7,61.9,9.5,72.9,mothbeans
29.5,54.5,18.3,25.2,51.6,6.5,67.9,mothbeans
22.7,40.4,17.0,26.1,42.5,8.1,72.9,mothbeans
31.8,40.1,26.1,25.4,56.8,7.7,50.5,mothbeans
38.0,52.2,18.1,30.7,58.6,5.7,38.5,mothbeans
34.3,55.4,17.6,25.7,58.7,6.1,44.6,mothbeans
25.6,50.8,17.6,26.7,52.3,8.4,43.8,mothbeans
26.6,49.5,17.4,24.6,57.5,8.3,42.8,mothbeans
36.6,47.8,18.2,29.9,52.8,8.3,51.6,mothbeans
37.4,45.5,21.0,28.0,46.4,7.8,46.4,mothbeans
28.8,62.2,13.6,27.2,47.7,4.4,53.6,mothbeans
38.3,42.4,21.5,26.6,49.8,6.5,44.5,mothbeans
31.8,46.9,22.0,28.4,45.8,5.0,69.1,mothbeans
29.8,44.2,17.3,25.9,57.5,3.8,41.9,mothbeans
24.2,50.5,14.8,26.3,58.7,3.5,57.8,mothbeans
26.8,51.3,23.1,28.8,49.2,6.8,46.2,mothbeans
29.3,41.1,23.8,29.3,56.2,3.5,55.5,mothbeans
22.0,55.3,21.7,31.8,46.3,8.7,36.7,mothbeans
14.2,58.0,18.8,27.0,61.1,6.6,24.1,mothbeans
25.2,52.7,20.4,29.6,42.4,8.9,56.7,mothbeans
35.8,56.5,15.1,24.1,48.0,5.9,48.2,mothbeans
12.6,45.6,24.9,28.2,42.3,6.4,32.2,mothbeans
37.8,59.9,20.7,31.1,51.2,9.3,59.9,mothbeans
32.9,47.1,26.1,24.6,52.7,3.9,61.5,mothbeans
23.4,40.7,16.7,30.3,50.8,6.8,73.3,mothbeans
26.4,51.1,18.5,25.6,54.9,4.3,57.6,mothbeans
28.6,61.3,12.5,29.3,58.3,7.4,72.3,mothbeans
27.7,49.9,19.7,26.2,50.1,3.8,72.5,mothbeans
19.6,47.6,13.6,24.7,64.3,5.5,54.8,mothbeans
16.0,32.4,18.2,25.4,55.1,7.9,58.7,mothbeans
20.0,53.7,16.2,29.4,48.1,9.5,68.6,mothbeans
39.1,44.8,17.1,24.5,61.3,7.8,60.1,mothbeans
38.1,52.5,20.5,26.1,42.9,6.4,45.3,mothbeans
23.4,57.4,18.1,26.4,46.0,8.1,44.0,mothbeans
37.8,44.0,18.8,28.3,59.1,8.0,32.0,mothbeans
29.3,46.0,16.2,31.5,55.7,7.8,55.0,mothbeans
24.5,45.2,17.7,27.0,55.0,8.5,72.3,mothbeans
31.3,50.6,24.0,26.7,48.3,5.2,69.8,mothbeans
18.3,43.4,22.3,31.0,50.3,9.2,68.2,mothbeans
36.2,57.7,25.8,28.0,52.1,8.3,67.9,mothbeans
22.8,53.6,21.2,27.2,63.4,9.5,61.5,mothbeans
12.5,58.0,20.1,26.4,39.2,8.7,77.3,mothbeans
28.3,52.4,16.6,27.3,40.5,8.1,45.6,mothbeans
17.1,48.6,19.4,30.8,50.4,6.7,63.8,mothbeans
20.4,41.3,14.9,24.0,57.3,6.9,59.6,mothbeans
20.0,38.8,16.6,28.6,46.6,7.4,69.4,mothbeans
34.3,57.2,19.3,26.9,52.6,4.0,46.1,mothbeans
33.5,55.8,21.7,28.1,47.0,6.1,65.6,mothbeans
23.5,42.2,21.3,24.9,63.7,6.2,56.6,mothbeans
25.8,46.3,17.0,25.2,45.9,5.7,37.4,mothbeans
31.8,49.2,17.5,26.9,45.9,7.2,35.1,mothbeans
40.8,42.0,15.6,29.7,53.7,7.9,37.5,mothbeans
17.1,37.5,22.5,24.6,51.9,8.5,66.2,mothbeans
31.6,56.5,14.9,27.1,62.4,8.0,61.4,mothbeans
19.8,39.1,15.6,26.7,49.0,8.3,32.0,mothbeans
29.1,36.5,19.9,31.3,40.7,7.8,47.4,mothbeans
32.2,46.5,14.9,28.7,62.8,9.0,64.0,mothbeans
32.5,37.9,19.5,25.0,54.1,5.6,72.0,mothbeans
34.3,42.2,22.3,31.7,43.5,5.5,73.1,mothbeans
24.2,54.0,24.0,29.7,54.3,4.9,45.0,mothbeans
30.3,48.1,20.5,28.8,55.2,7.4,41.5,mothbeans
21.4,54.3,15.4,26.9,52.6,9.5,45.4,mothbeans
39.2,37.9,24.4,23.1,48.8,7.7,73.7,mothbeans
16.0,37.5,22.5,30.8,52.7,4.1,39.7,mothbeans
34.2,53.4,19.9,29.0,57.4,5.8,41.8,mothbeans
19.8,47.4,20.2,27.6,54.5,7.2,44.1,mothbeans
25.4,34.6,25.5,28.0,47.6,7.0,57.4,mothbeans
23.8,55.5,17.0,26.0,43.3,3.5,50.8,mothbeans
28.1,54.4,18.3,28.2,44.3,9.5,50.3,mothbeans
24.3,47.1,14.4,28.9,50.1,8.5,59.5,mothbeans
24.5,41.7,18.7,26.6,43.8,6.7,78.7,mothbeans
24.6,51.0,16.8,26.5,43.1,8.2,85.0,mothbeans
30.0,48.0,23.7,32.5,62.0,6.0,59.5,mothbeans
33.0,45.1,26.7,26.9,50.7,5.0,82.0,mothbeans
25.4,40.6,17.1,27.8,52.4,4.8,53.5,mothbeans
40.2,45.5,25.2,25.5,45.8,9.0,30.5,mothbeans
19.3,41.4,17.8,27.0,56.7,8.2,34.7,mothbeans
39.7,38.1,22.6,28.7,65.7,6.5,72.0,mothbeans
30.5,56.5,24.8,24.4,48.2,7.1,54.1,mothbeans
37.2,58.7,18.5,25.8,64.9,5.9,30.8,mothbeans
30.4,45.5,24.2,27.9,52.1,4.8,58.2,mothbeans
23.3,41.7,18.4,24.7,53.3,7.6,66.3,mothbeans
21.8,36.6,18.0,30.0,47.6,5.3,33.8,mothbeans
25.6,37.6,24.9,31.3,50.2,6.9,57.3,mothbeans
37.7,56.4,19.0,31.6,43.5,5.1,48.4,mothbeans
24.3,42.3,23.5,29.2,45.5,6.4,35.1,mothbeans
33.0,51.7,25.2,27.4,63.2,5.7,52.1,mothbeans
36.8,58.2,17.8,25.4,42.5,4.6,69.5,mothbeans
39.7,44.2,18.3,28.5,55.1,8.7,43.1,mothbeans
38.3,41.0,19.8,27.5,63.0,3.7,25.9,mothbeans
9.5,53.2,14.5,24.6,52.9,4.7,60.3,mothbeans
33.7,34.8,21.4,27.3,65.3,6.2,69.1,mothbeans
38.0,46.6,17.7,29.1,46.4,8.1,37.4,mothbeans
20.0,31.5,22.8,27.1,50.2,4.8,65.2,mothbeans
34.0,54.2,13.0,30.6,63.8,9.5,50.7,mothbeans
28.0,40.9,23.5,25.2,43.6,8.6,70.6,mothbeans
11.5,44.7,17.5,28.2,45.3,6.9,80.1,mothbeans
22.7,50.1,18.2,27.6,42.8,4.9,52.3,mothbeans
28.5,44.3,22.0,25.1,42.3,9.5,71.0,mothbeans
29.5,52.6,12.8,28.2,81.4,6.3,38.5,mungbean
37.8,40.7,25.9,28.3,85.9,7.1,46.0,mungbean
26.8,54.2,19.2,27.9,80.5,6.5,49.3,mungbean
26.9,37.6,20.0,28.1,82.7,6.8,41.1,mungbean
25.0,43.5,14.0,27.4,87.2,6.7,44.6,mungbean
23.3,58.4,26.0,29.0,79.4,6.5,50.4,mungbean
27.7,51.7,13.6,28.1,89.3,6.2,36.9,mungbean
18.3,46.6,21.6,28.4,80.7,6.5,41.4,mungbean
39.7,53.1,18.9,26.7,83.8,6.9,42.0,mungbean
22.1,46.2,15.9,28.6,78.2,6.5,52.8,mungbean
20.4,52.9,20.6,28.9,82.7,7.0,51.2,mungbean
21.6,51.7,19.0,26.0,84.9,6.3,43.8,mungbean
24.0,41.8,18.6,28.8,86.5,7.2,52.7,mungbean
17.1,38.1,26.1,30.0,81.1,6.4,56.6,mungbean
34.4,38.8,18.5,28.2,83.2,6.4,62.2,mungbean
31.6,60.7,17.1,28.2,84.3,6.6,51.4,mungbean
32.5,55.6,15.9,26.3,82.2,6.5,51.6,mungbean
31.4,44.7,21.2,29.0,87.1,7.1,56.1,mungbean
22.9,49.8,21.2,28.6,86.8,6.8,54.6,mungbean
31.9,46.9,21.3,29.3,84.4,7.2,38.8,mungbean
33.3,47.5,12.0,27.8,89.2,7.0,49.6,mungbean
26.3,42.5,13.2,27.9,84.7,6.4,63.2,mungbean
17.8,55.7,18.9,26.8,89.1,6.4,57.6,mungbean
17.1,33.5,19.8,30.3,79.7,6.3,69.4,mungbean
14.7,55.7,22.3,28.4,84.2,6.2,42.2,mungbean
30.0,54.3,19.5,28.0,82.6,6.6,49.2,mungbean
21.7,52.3,22.6,28.0,84.4,7.1,54.4,mungbean
17.5,36.5,15.5,27.7,87.3,6.3,45.5,mungbean
15.4,45.8,19.3,29.7,88.8,6.5,39.3,mungbean
29.2,49.4,24.0,29.8,83.5,6.7,40.3,mungbean
20.0,53.3,15.7,28.4,89.5,6.1,56.1,mungbean
27.9,51.4,16.2,29.7,84.0,6.5,48.5,mungbean
25.9,34.2,19.7,28.8,86.8,7.3,61.0,mungbean
24.9,57.9,18.1,27.2,85.9,6.8,50.3,mungbean
35.9,39.7,16.4,29.0,89.6,6.7,41.9,mungbean
23.5,51.1,18.4,27.7,79.6,6.8,39.2,mungbean
16.0,54.3,16.1,29.0,80.7,7.2,53.1,mungbean
23.9,37.7,24.4,27.5,83.9,6.9,51.3,mungbean
38.2,40.5,14.9,27.5,89.2,6.9,50.6,mungbean
17.7,45.4,15.3,28.6,81.3,6.6,47.7,mungbean
27.3,43.2,23.8,29.6,82.0,6.4,34.2,mungbean
39.0,51.5,18.6,28.3,82.3,6.4,36.0,mungbean
16.2,43.4,17.9,29.4,86.7,6.1,61.0,mungbean
35.6,40.0,14.9,30.3,85.7,7.1,39.4,mungbean
28.4,40.0,19.0,27.0,87.0,6.3,57.8,mungbean
41.0,55.5,17.8,26.8,83.4,7.4,53.9,mungbean
20.2,41.4,23.9,26.8,86.3,6.1,42.0,mungbean
43.5,56.0,23.2,29.6,90.2,6.5,42.2,mungbean
37.9,47.9,21.2,27.1,85.0,6.3,49.2,mungbean
30.9,35.5,23.9,26.8,87.6,6.2,53.6,mungbean
36.6,52.6,25.6,28.9,80.8,6.4,50.6,mungbean
30.3,59.3,17.8,28.0,90.3,6.7,47.3,mungbean
22.2,54.5,20.9,30.0,88.6,7.1,67.2,mungbean
29.8,36.4,24.8,27.9,82.8,6.3,46.2,mungbean
31.1,53.7,18.0,29.4,86.8,6.7,50.5,mungbean
21.0,53.6,25.2,27.2,81.1,6.9,43.8,mungbean
15.9,43.7,23.1,30.1,81.9,7.0,38.7,mungbean
23.7,36.9,27.0,29.4,81.7,7.3,60.7,mungbean
36.0,44.5,17.9,27.7,83.6,6.5,37.1,mungbean
24.2,41.8,14.7,27.8,81.1,6.3,42.6,mungbean
30.0,42.1,12.4,28.6,88.9,6.7,55.0,mungbean
35.7,53.0,19.6,28.8,83.7,6.5,42.7,mungbean
20.5,55.6,25.2,29.5,82.7,6.5,57.0,mungbean
28.8,36.8,26.3,27.7,84.8,7.3,62.3,mungbean
23.9,57.0,24.1,30.6,86.1,6.8,37.2,mungbean
18.7,51.9,21.0,29.8,87.9,6.2,39.6,mungbean
31.2,41.8,22.2,29.9,84.8,6.6,48.6,mungbean
36.9,37.4,15.8,29.3,85.7,6.7,59.5,mungbean
17.7,56.2,21.1,28.2,85.7,7.2,42.6,mungbean
36.0,52.2,26.7,27.1,87.3,6.9,31.9,mungbean
16.7,35.4,22.8,27.2,80.6,6.8,38.7,mungbean
35.2,40.3,21.3,28.8,79.8,7.2,54.4,mungbean
42.7,43.9,14.4,29.8,82.7,6.9,52.3,mungbean
20.2,60.1,15.1,28.7,84.6,6.4,50.0,mungbean
25.0,51.5,19.9,28.1,81.8,6.9,27.7,mungbean
32.4,56.6,17.3,28.8,88.6,6.2,56.3,mungbean
23.3,45.3,23.4,28.6,85.6,6.6,43.9,mungbean
23.6,41.9,18.3,30.3,87.1,7.0,40.4,mungbean
35.2,43.2,21.5,26.9,83.3,6.5,63.0,mungbean
36.2,39.0,22.5,29.2,84.9,6.7,44.0,mungbean
12.5,38.3,18.7,29.1,86.1,6.8,61.8,mungbean
22.1,38.8,26.1,29.8,83.1,6.8,53.4,mungbean
33.2,49.6,23.0,28.4,81.0,6.7,42.9,mungbean
25.6,56.8,16.8,27.2,81.4,6.6,64.9,mungbean
18.1,35.9,26.1,26.7,80.3,6.5,54.6,mungbean
32.2,48.7,14.2,29.0,89.5,7.3,41.3,mungbean
29.5,37.5,23.6,28.0,84.5,6.9,46.1,mungbean
31.2,40.5,19.3,26.8,81.5,7.0,57.8,mungbean
28.0,49.8,21.4,27.3,83.3,6.5,50.7,mungbean
27.9,57.8,24.1,29.6,83.8,6.6,56.7,mungbean
38.4,43.9,22.2,29.1,85.6,6.4,37.1,mungbean
37.9,52.3,17.3,30.2,88.9,6.9,62.2,mungbean
26.7,46.9,19.0,27.0,83.6,7.2,51.4,mungbean
34.1,50.3,22.6,27.4,80.0,6.3,50.7,mungbean
41.9,55.1,18.6,27.7,88.7,6.5,40.5,mungbean
17.6,37.7,19.4,26.9,84.6,7.0,47.9,mungbean
27.1,55.1,14.7,26.9,87.5,7.3,43.5,mungbean
25.0,53.7,19.9,28.5,83.5,6.4,48.0,mungbean
41.5,46.4,21.4,28.3,81.0,6.7,48.3,mungbean
23.3,44.4,20.3,28.1,90.5,6.9,53.8,mungbean
52.7,68.0,24.0,26.7,65.5,7.0,68.8,blackgram
48.3,56.4,12.9,33.5,67.0,7.9,80.5,blackgram
52.8,81.5,13.4,31.9,65.7,7.3,65.6,blackgram
38.8,70.2,19.4,34.0,62.4,6.4,69.0,blackgram
49.0,68.6,17.9,29.0,67.5,7.1,77.5,blackgram
47.7,55.4,21.0,30.2,63.8,6.8,66.8,blackgram
35.3,66.9,19.0,32.8,68.7,7.8,64.5,blackgram
37.7,63.6,16.3,32.4,62.7,7.6,59.1,blackgram
44.8,68.2,21.6,27.9,68.9,7.2,71.6,blackgram
48.1,56.0,15.8,31.5,60.6,7.3,57.3,blackgram
27.0,80.4,25.4,30.2,63.7,7.3,60.6,blackgram
29.7,74.4,21.7,28.3,63.8,7.0,67.4,blackgram
40.3,76.0,21.5,26.5,61.2,7.3,79.1,blackgram
40.3,60.0,28.0,28.9,63.7,7.9,65.3,blackgram
36.2,71.2,18.8,30.3,60.3,6.7,76.3,blackgram
38.6,71.9,22.8,27.0,64.1,7.5,70.6,blackgram
43.3,64.9,15.4,27.6,70.6,7.1,76.9,blackgram
41.2,54.7,21.1,35.5,64.9,7.1,73.0,blackgram
35.1,70.1,23.4,33.6,61.5,7.0,73.9,blackgram
37.4,76.9,16.8,31.9,59.1,6.6,76.2,blackgram
35.3,58.4,19.2,33.9,67.1,7.0,54.0,blackgram
39.9,75.4,17.9,29.3,66.9,6.4,71.6,blackgram
39.9,65.0,19.5,27.9,61.5,7.0,64.0,blackgram
37.1,73.6,16.8,27.2,66.8,6.7,76.4,blackgram
58.6,74.4,29.2,32.2,68.5,7.1,68.4,blackgram
52.9,70.4,23.0,31.6,68.4,6.6,69.4,blackgram
58.7,61.0,13.1,32.5,61.9,6.9,73.8,blackgram
55.6,71.9,17.6,34.4,68.0,7.0,83.5,blackgram
41.5,74.2,19.5,31.4,63.4,7.6,69.3,blackgram
36.7,58.8,17.5,34.3,61.6,6.4,65.3,blackgram
58.4,78.1,21.1,30.5,65.0,7.6,61.8,blackgram
34.9,63.3,23.1,28.2,61.9,7.7,75.6,blackgram
42.7,79.1,22.5,28.9,66.3,6.6,63.0,blackgram
56.1,54.5,19.1,30.1,61.9,7.1,70.7,blackgram
37.3,71.1,22.4,28.5,63.7,6.9,64.6,blackgram
60.2,66.5,16.8,31.2,63.6,6.5,68.9,blackgram
33.6,71.6,18.1,32.3,61.6,6.7,51.3,blackgram
48.7,73.3,19.7,27.3,69.3,7.6,67.8,blackgram
51.2,65.0,27.0,26.2,65.2,7.2,62.4,blackgram
35.8,78.2,19.7,33.0,66.6,7.5,79.2,blackgram
52.8,74.8,22.9,33.1,61.1,7.0,55.9,blackgram
56.9,80.6,14.4,25.1,64.5,7.3,60.8,blackgram
56.1,78.6,21.2,33.7,61.6,7.5,71.9,blackgram
34.7,69.3,17.0,25.6,66.9,7.7,79.4,blackgram
39.4,61.1,22.7,32.3,69.2,7.3,66.5,blackgram
46.7,79.5,21.5,29.6,59.5,7.4,62.2,blackgram
50.1,54.5,12.0,28.0,61.0,6.7,69.4,blackgram
51.3,69.2,13.4,33.6,69.6,7.7,65.3,blackgram
32.9,60.2,20.3,26.7,64.4,7.0,56.9,blackgram
33.8,60.0,19.7,30.9,69.0,7.4,76.8,blackgram
58.1,61.6,22.6,25.9,62.2,6.9,60.5,blackgram
56.6,66.1,19.4,26.4,60.9,6.9,65.8,blackgram
54.0,62.6,21.3,32.6,65.2,7.7,70.5,blackgram
54.8,59.0,23.7,26.7,65.1,7.6,63.0,blackgram
49.1,66.9,22.4,30.1,67.2,7.6,71.0,blackgram
38.3,79.6,15.2,28.7,62.5,7.4,71.8,blackgram
52.3,68.8,25.3,32.2,67.5,7.7,70.9,blackgram
38.5,58.5,24.8,26.7,67.7,7.2,63.9,blackgram
34.0,66.3,17.7,27.6,61.7,6.8,64.5,blackgram
50.9,63.9,25.4,32.3,60.1,6.5,76.9,blackgram
59.8,73.4,21.5,30.2,65.8,7.8,81.5,blackgram
36.7,64.3,19.7,26.2,70.7,7.4,63.2,blackgram
30.0,64.1,18.2,28.8,60.0,6.6,69.6,blackgram
41.2,65.6,23.2,29.9,67.4,6.5,69.4,blackgram
43.9,76.2,19.0,32.1,67.2,7.3,60.4,blackgram
45.1,74.1,20.2,28.0,67.9,6.4,68.5,blackgram
49.0,79.6,20.4,30.4,60.5,6.6,70.4,blackgram
44.4,63.6,16.1,31.1,68.2,7.5,78.4,blackgram
32.8,78.8,23.1,30.7,66.3,7.3,75.3,blackgram
32.0,73.6,18.4,30.6,65.1,7.6,70.7,blackgram
41.3,72.8,21.7,25.0,64.4,7.1,63.7,blackgram
50.0,58.5,20.6,28.8,63.0,7.2,77.6,blackgram
42.8,58.1,19.1,34.9,60.1,7.6,74.0,blackgram
57.1,76.8,16.8,27.6,61.5,7.2,63.5,blackgram
43.2,75.5,16.8,33.0,63.0,6.6,69.5,blackgram
44.7,76.7,12.6,31.2,63.3,6.7,57.7,blackgram
57.8,81.2,18.2,31.3,65.2,7.0,78.7,blackgram
56.0,71.9,18.9,31.1,61.1,7.2,67.9,blackgram
59.4,80.0,19.3,28.9,68.6,7.1,69.4,blackgram
50.3,58.5,25.3,29.3,61.9,7.7,64.5,blackgram
33.6,79.5,23.4,32.6,59.6,6.8,51.0,blackgram
36.6,57.9,19.4,27.3,65.0,7.3,70.0,blackgram
48.1,63.1,16.9,25.9,66.9,6.5,66.4,blackgram
37.4,66.5,23.9,32.5,71.3,7.3,79.0,blackgram
37.6,66.0,19.6,31.2,61.0,7.1,59.3,blackgram
30.1,69.4,20.5,25.1,65.4,7.3,65.7,blackgram
33.6,60.2,18.0,31.4,66.4,6.8,69.8,blackgram
49.1,73.8,21.5,33.2,67.9,7.1,65.4,blackgram
47.3,58.1,20.4,30.4,64.0,7.6,59.1,blackgram
51.6,80.0,22.1,28.5,60.2,7.6,58.1,blackgram
33.4,60.6,27.6,33.4,68.3,6.6,66.3,blackgram
49.0,59.8,25.1,34.1,61.4,7.0,75.1,blackgram
48.3,61.0,21.5,33.1,65.2,7.9,59.3,blackgram
35.5,72.0,18.3,27.0,61.9,7.5,70.8,blackgram
41.3,73.4,21.5,32.4,63.4,6.5,60.9,blackgram
54.9,75.3,20.6,29.0,67.7,7.4,61.7,blackgram
48.0,78.8,20.1,33.5,69.3,6.7,67.8,blackgram
57.2,59.1,21.1,26.8,64.5,6.7,65.9,blackgram
47.4,79.3,23.6,28.7,63.3,6.6,56.1,blackgram
47.3,79.7,23.2,29.7,67.3,6.7,61.7,blackgram
19.6,75.0,18.1,22.1,60.3,6.8,61.0,lentil
39.9,65.2,19.4,19.8,61.9,6.1,45.0,lentil
32.6,71.7,15.3,22.5,63.4,6.9,53.5,lentil
25.4,69.3,14.9,27.5,63.9,6.3,50.5,lentil
22.7,78.7,16.9,24.6,62.1,6.1,50.0,lentil
17.3,62.9,16.9,21.9,64.2,6.2,44.2,lentil
26.0,59.6,21.3,23.0,66.7,6.2,48.1,lentil
25.0,63.4,20.2,23.9,62.9,6.7,57.5,lentil
28.3,69.5,21.8,27.3,64.5,6.0,43.0,lentil
34.4,69.0,24.9,22.5,67.8,7.0,60.7,lentil
34.9,81.1,20.1,25.4,61.7,6.1,43.0,lentil
25.3,70.6,23.7,23.5,64.7,6.7,44.8,lentil
17.2,69.9,13.5,22.2,65.6,6.0,45.6,lentil
24.4,64.9,26.5,17.8,65.8,6.6,45.5,lentil
34.7,56.2,15.1,24.4,60.7,7.0,53.8,lentil
15.2,76.1,16.2,22.7,69.0,6.3,41.3,lentil
35.5,69.3,19.3,28.6,70.1,6.1,33.1,lentil
20.3,60.5,12.3,18.7,66.4,6.6,54.0,lentil
38.3,73.5,17.5,24.2,68.7,6.6,44.8,lentil
20.9,59.7,21.4,25.7,66.9,6.3,47.3,lentil
41.1,72.2,23.3,20.1,63.8,6.0,35.6,lentil
23.1,58.9,18.8,20.0,67.1,6.6,61.0,lentil
38.2,66.9,19.9,23.5,63.9,6.1,43.4,lentil
15.8,62.8,18.1,26.2,62.9,6.5,29.5,lentil
18.0,70.4,20.6,19.0,58.8,5.9,39.2,lentil
27.6,68.0,14.2,22.9,65.6,6.3,46.0,lentil
22.3,67.1,16.2,18.5,61.1,6.7,36.6,lentil
28.8,64.6,17.1,19.5,68.7,6.5,55.4,lentil
19.6,61.0,13.0,25.8,67.4,6.8,50.0,lentil
22.7,64.1,18.4,19.2,60.0,6.7,53.2,lentil
24.0,64.7,18.4,21.2,61.7,6.3,38.7,lentil
21.6,72.9,27.9,18.2,63.5,6.2,45.1,lentil
27.1,79.8,23.1,20.5,64.0,6.1,46.3,lentil
13.0,61.4,18.5,24.3,66.9,6.6,64.3,lentil
34.4,66.7,16.9,20.4,63.0,6.5,52.8,lentil
22.4,71.5,16.7,22.0,66.7,6.4,43.4,lentil
26.9,55.2,19.4,24.2,65.1,6.3,56.1,lentil
30.3,53.4,17.1,21.5,65.2,6.1,46.5,lentil
34.8,73.6,24.2,27.3,61.3,6.3,48.4,lentil
16.5,68.4,22.5,18.8,63.5,5.8,51.5,lentil
24.2,74.4,15.2,29.5,69.4,6.6,49.5,lentil
